disease,medicine,description,precautions,diet
Common Cold,Medicine_1,Treatment for Common Cold,Precaution for Common Cold,Diet recommendation for Common Cold
Flu,Medicine_2,Treatment for Flu,Precaution for Flu,Diet recommendation for Flu
Migraine,Medicine_3,Treatment for Migraine,Precaution for Migraine,Diet recommendation for Migraine
Hypertension,Medicine_4,Treatment for Hypertension,Precaution for Hypertension,Diet recommendation for Hypertension
Gastritis,Medicine_5,Treatment for Gastritis,Precaution for Gastritis,Diet recommendation for Gastritis
Asthma,Medicine_6,Treatment for Asthma,Precaution for Asthma,Diet recommendation for Asthma
Bronchitis,Medicine_7,Treatment for Bronchitis,Precaution for Bronchitis,Diet recommendation for Bronchitis
Allergy,Medicine_8,Treatment for Allergy,Precaution for Allergy,Diet recommendation for Allergy
Pneumonia,Medicine_9,Treatment for Pneumonia,Precaution for Pneumonia,Diet recommendation for Pneumonia
Tuberculosis,Medicine_10,Treatment for Tuberculosis,Precaution for Tuberculosis,Diet recommendation for Tuberculosis
Common Cold,Medicine_11,Treatment for Common Cold,Precaution for Common Cold,Diet recommendation for Common Cold
Flu,Medicine_12,Treatment for Flu,Precaution for Flu,Diet recommendation for Flu
Migraine,Medicine_13,Treatment for Migraine,Precaution for Migraine,Diet recommendation for Migraine
Hypertension,Medicine_14,Treatment for Hypertension,Precaution for Hypertension,Diet recommendation for Hypertension
Gastritis,Medicine_15,Treatment for Gastritis,Precaution for Gastritis,Diet recommendation for Gastritis
Asthma,Medicine_16,Treatment for Asthma,Precaution for Asthma,Diet recommendation for Asthma
Bronchitis,Medicine_17,Treatment for Bronchitis,Precaution for Bronchitis,Diet recommendation for Bronchitis
Allergy,Medicine_18,Treatment for Allergy,Precaution for Allergy,Diet recommendation for Allergy
Pneumonia,Medicine_19,Treatment for Pneumonia,Precaution for Pneumonia,Diet recommendation for Pneumonia
Tuberculosis,Medicine_20,Treatment for Tuberculosis,Precaution for Tuberculosis,Diet recommendation for Tuberculosis
Common Cold,Medicine_21,Treatment for Common Cold,Precaution for Common Cold,Diet recommendation for Common Cold
Flu,Medicine_22,Treatment for Flu,Precaution for Flu,Diet recommendation for Flu
Migraine,Medicine_23,Treatment for Migraine,Precaution for Migraine,Diet recommendation for Migraine
Hypertension,Medicine_24,Treatment for Hypertension,Precaution for Hypertension,Diet recommendation for Hypertension
Gastritis,Medicine_25,Treatment for Gastritis,Precaution for Gastritis,Diet recommendation for Gastritis
Asthma,Medicine_26,Treatment for Asthma,Precaution for Asthma,Diet recommendation for Asthma
Bronchitis,Medicine_27,Treatment for Bronchitis,Precaution for Bronchitis,Diet recommendation for Bronchitis
Allergy,Medicine_28,Treatment for Allergy,Precaution for Allergy,Diet recommendation for Allergy
Pneumonia,Medicine_29,Treatment for Pneumonia,Precaution for Pneumonia,Diet recommendation for Pneumonia
Tuberculosis,Medicine_30,Treatment for Tuberculosis,Precaution for Tuberculosis,Diet recommendation for Tuberculosis
Common Cold,Medicine_31,Treatment for Common Cold,Precaution for Common Cold,Diet recommendation for Common Cold
Flu,Medicine_32,Treatment for Flu,Precaution for Flu,Diet recommendation for Flu
Migraine,Medicine_33,Treatment for Migraine,Precaution for Migraine,Diet recommendation for Migraine
Hypertension,Medicine_34,Treatment for Hypertension,Precaution for Hypertension,Diet recommendation for Hypertension
Gastritis,Medicine_35,Treatment for Gastritis,Precaution for Gastritis,Diet recommendation for Gastritis
Asthma,Medicine_36,Treatment for Asthma,Precaution for Asthma,Diet recommendation for Asthma
Bronchitis,Medicine_37,Treatment for Bronchitis,Precaution for Bronchitis,Diet recommendation for Bronchitis
Allergy,Medicine_38,Treatment for Allergy,Precaution for Allergy,Diet recommendation for Allergy
Pneumonia,Medicine_39,Treatment for Pneumonia,Precaution for Pneumonia,Diet recommendation for Pneumonia
Tuberculosis,Medicine_40,Treatment for Tuberculosis,Precaution for Tuberculosis,Diet recommendation for Tuberculosis
Common Cold,Medicine_41,Treatment for Common Cold,Precaution for Common Cold,Diet recommendation for Common Cold
Flu,Medicine_42,Treatment for Flu,Precaution for Flu,Diet recommendation for Flu
Migraine,Medicine_43,Treatment for Migraine,Precaution for Migraine,Diet recommendation for Migraine
Hypertension,Medicine_44,Treatment for Hypertension,Precaution for Hypertension,Diet recommendation for Hypertension
Gastritis,Medicine_45,Treatment for Gastritis,Precaution for Gastritis,Diet recommendation for Gastritis
Asthma,Medicine_46,Treatment for Asthma,Precaution for Asthma,Diet recommendation for Asthma
Bronchitis,Medicine_47,Treatment for Bronchitis,Precaution for Bronchitis,Diet recommendation for Bronchitis
Allergy,Medicine_48,Treatment for Allergy,Precaution for Allergy,Diet recommendation for Allergy
Pneumonia,Medicine_49,Treatment for Pneumonia,Precaution for Pneumonia,Diet recommendation for Pneumonia
Tuberculosis,Medicine_50,Treatment for Tuberculosis,Precaution for Tuberculosis,Diet recommendation for Tuberculosis
